         188107 function calls (185585 primitive calls) in 19.457 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3104    5.247    0.002    5.247    0.002 {method 'read' of '_ssl._SSLSocket' objects}
       29    3.649    0.126    3.649    0.126 {method 'search' of '_sre.SRE_Pattern' objects}
     1965    2.109    0.001    2.109    0.001 {method 'decompress' of 'zlib.Decompress' objects}
     1969    0.600    0.000   12.085    0.006 response.py:276(read)
      348    0.556    0.002    0.556    0.002 {method 'split' of 'str' objects}
     1969    0.478    0.000    7.162    0.004 client.py:437(read)
        4    0.353    0.088    0.353    0.088 {built-in method _socket.getaddrinfo}
     3104    0.267    0.000    6.670    0.002 socket.py:562(readinto)
     1965    0.263    0.000    2.371    0.001 response.py:55(decompress)
     3104    0.252    0.000    5.499    0.002 ssl.py:576(read)
     1965    0.251    0.000    6.515    0.003 client.py:469(readinto)
     3104    0.243    0.000    6.060    0.002 ssl.py:926(recv_into)
     1969    0.222    0.000    0.551    0.000 contextlib.py:63(__exit__)
     1965    0.215    0.000    6.198    0.003 {method 'readinto' of '_io.BufferedReader' objects}
     2045    0.210    0.000    0.327    0.000 _collections.py:150(__getitem__)
     1973    0.196    0.000    0.196    0.000 response.py:7(is_fp_closed)
     3938    0.195    0.000    0.452    0.000 {built-in method builtins.next}
     1969    0.194    0.000   12.475    0.006 response.py:336(stream)
        4    0.192    0.048    0.192    0.048 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     3938    0.191    0.000    0.257    0.000 response.py:219(_error_catcher)
11971/11789    0.186    0.000    0.187    0.000 {built-in method builtins.len}
       32    0.185    0.006   12.736    0.398 {method 'join' of 'bytes' objects}
     3104    0.182    0.000    5.722    0.002 ssl.py:791(read)
     1969    0.178    0.000    0.243    0.000 contextlib.py:37(__init__)
     1965    0.169    0.000    0.169    0.000 {method 'tobytes' of 'memoryview' objects}
     1997    0.144    0.000    0.464    0.000 _collections_abc.py:594(get)
     3104    0.140    0.000    0.245    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     1965    0.138    0.000    2.509    0.001 response.py:190(_decode)
     1969    0.137    0.000    0.624    0.000 response.py:180(_init_decoder)
        4    0.128    0.032    3.838    0.960 models.py:765(text)
     1969    0.117    0.000    0.360    0.000 contextlib.py:134(helper)
     3108    0.105    0.000    0.105    0.000 socket.py:601(readable)
     6220    0.099    0.000    0.099    0.000 ssl.py:779(_checkClosed)
     3104    0.097    0.000    0.097    0.000 {method '_checkClosed' of '_io._IOBase' objects}
